epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,126.905,0.49149,5.52273,0.3854,0.51403,0.38266,0.23357,0.18832,0.19693,0.90568,0.17132,0.000414402,0.000414402,0.000414402
2,652.781,0.32813,0.85365,0.21906,0.53379,0.52024,0.43724,0.35393,0.16485,0.78797,0.14065,0.000822841,0.000822841,0.000822841
3,1388.88,0.31841,0.85487,0.20906,0.56939,0.57419,0.51961,0.44322,0.17527,0.73812,0.14828,0.00122303,0.00122303,0.00122303
4,1820.01,0.33177,0.85297,0.22136,0.66834,0.62645,0.608,0.4901,0.19551,0.62053,0.16603,0.00121287,0.00121287,0.00121287
5,14251.9,0.31042,0.77972,0.19813,0.71254,0.64238,0.59986,0.50309,0.16917,0.58524,0.1434,0.0012005,0.0012005,0.0012005
6,14308.2,0.3049,0.75615,0.18905,0.69119,0.64497,0.59504,0.49528,0.1688,0.57246,0.14332,0.00118812,0.00118812,0.00118812
7,14364.2,0.27412,0.7304,0.1765,0.70928,0.71735,0.65437,0.56121,0.14717,0.51253,0.12268,0.00117575,0.00117575,0.00117575
8,14420.3,0.27196,0.6817,0.17688,0.73183,0.71825,0.66983,0.59344,0.13497,0.47644,0.10893,0.00116337,0.00116337,0.00116337
9,14477.2,0.25888,0.66188,0.1704,0.76196,0.75354,0.70328,0.6123,0.13678,0.46005,0.11197,0.001151,0.001151,0.001151
10,14533.4,0.25321,0.6391,0.1645,0.78864,0.76868,0.7566,0.66351,0.14057,0.49137,0.11145,0.00113863,0.00113863,0.00113863
11,14590.8,0.24289,0.66617,0.15724,0.81005,0.75148,0.70175,0.6196,0.13422,0.50447,0.11297,0.00112625,0.00112625,0.00112625
12,14648.1,0.24785,0.63456,0.15972,0.73351,0.70582,0.67476,0.58986,0.13437,0.4815,0.10879,0.00111388,0.00111388,0.00111388
13,14704.9,0.23923,0.64628,0.1555,0.73947,0.72203,0.67922,0.6095,0.12745,0.45139,0.09665,0.0011015,0.0011015,0.0011015
