epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,378.594,1.06985,2.22238,1.38801,0.22108,0.16407,0.13313,0.07531,2.30134,3.67537,2.77169,0.000412138,0.000412138,0.000412138
2,884.658,1.31944,1.90054,1.56037,0.07819,0.29913,0.07967,0.03621,2.55014,31.6796,3.15145,0.000820599,0.000820599,0.000820599
3,1053.32,1.37018,1.91928,1.61878,0.10154,0.21906,0.06273,0.02092,2.41312,9.85008,3.17357,0.00122081,0.00122081,0.00122081
4,1132.24,1.32529,1.73963,1.57217,0.20302,0.4968,0.28513,0.15986,1.43346,14.4053,2.04877,0.00121287,0.00121287,0.00121287
5,1207.8,1.23003,1.67909,1.50623,0.51119,0.63331,0.51934,0.36059,1.08913,1.63566,1.60119,0.0012005,0.0012005,0.0012005
6,1297.34,1.17843,1.56568,1.4619,0.38471,0.65395,0.53563,0.38709,0.97471,1.59625,1.40839,0.00118812,0.00118812,0.00118812
7,1384.54,1.08334,1.47543,1.38595,0.63086,0.72951,0.60723,0.45051,0.85314,1.16784,1.31359,0.00117575,0.00117575,0.00117575
8,1476.55,1.08706,1.43162,1.38166,0.39019,0.64316,0.48333,0.35527,0.96746,2.75906,1.42772,0.00116337,0.00116337,0.00116337
9,1532.54,1.02028,1.34551,1.34225,0.35376,0.17466,0.14207,0.1132,2.7993,5.59893,3.29585,0.001151,0.001151,0.001151
10,1610.49,0.99392,1.28594,1.3088,0.62495,0.7792,0.64174,0.49104,0.74562,1.04952,1.21381,0.00113863,0.00113863,0.00113863
11,1667.37,0.95684,1.27928,1.29292,0.62303,0.84426,0.67935,0.53778,0.67215,0.96416,1.15645,0.00112625,0.00112625,0.00112625
12,1731.66,0.94067,1.24353,1.26274,0.53109,0.81594,0.62609,0.49794,0.69837,1.35843,1.16782,0.00111388,0.00111388,0.00111388
13,1798.24,0.91222,1.24146,1.25673,0.5782,0.83417,0.68948,0.54158,0.65275,1.0214,1.13812,0.0011015,0.0011015,0.0011015
14,1875.81,0.89765,1.18974,1.2557,0.50347,0.80179,0.65481,0.51089,0.6918,1.18108,1.17815,0.00108913,0.00108913,0.00108913
15,1966.57,0.85828,1.1383,1.22444,0.53088,0.81071,0.67236,0.51158,0.72709,1.07478,1.21154,0.00107675,0.00107675,0.00107675
16,2048.28,0.87085,1.14229,1.23303,0.65126,0.87353,0.70316,0.57381,0.59487,0.91378,1.0813,0.00106437,0.00106437,0.00106437
17,2110.71,0.85766,1.13787,1.21626,0.60928,0.85909,0.67605,0.54041,0.64384,0.92911,1.11793,0.001052,0.001052,0.001052
18,2167.07,0.81266,1.0772,1.19865,0.62288,0.87582,0.70802,0.57729,0.5895,0.86253,1.08916,0.00103962,0.00103962,0.00103962
19,2245.51,0.84415,1.10652,1.20565,0.56262,0.83642,0.72011,0.58202,0.63593,0.97861,1.11946,0.00102725,0.00102725,0.00102725
20,2309.45,0.80137,1.06473,1.1745,0.6187,0.85496,0.7241,0.58681,0.60469,0.88029,1.08273,0.00101488,0.00101488,0.00101488
21,2368.27,0.7895,1.04466,1.1808,0.64875,0.90713,0.74006,0.61661,0.54609,0.8005,1.05961,0.0010025,0.0010025,0.0010025
22,2451.62,0.78112,1.01642,1.17508,0.68388,0.82797,0.78276,0.63491,0.60921,0.85187,1.09179,0.000990125,0.000990125,0.000990125
23,2537.9,0.78782,1.00929,1.16531,0.64714,0.90475,0.74251,0.60994,0.55249,0.81078,1.04721,0.00097775,0.00097775,0.00097775
