epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.1743,1.21438,2.63786,1.447,0.58701,0.19704,0.126,0.07613,1.40357,7.14532,1.85108,0.000414402,0.000414402,0.000414402
2,109.464,1.46079,2.15474,1.5727,0.09787,0.19548,0.0584,0.03043,nan,nan,nan,0.000822841,0.000822841,0.000822841
3,161.549,1.47488,2.07355,1.59507,0.5245,0.0734,0.07321,0.04478,2.16028,8.02026,2.39172,0.00122303,0.00122303,0.00122303
4,213.167,1.39094,1.93638,1.53001,0.28535,0.39896,0.27781,0.17125,1.72855,2.71336,1.94383,0.00121287,0.00121287,0.00121287
5,264.659,1.31311,1.81193,1.46412,0.42496,0.57508,0.41445,0.277,1.16875,1.9608,1.44697,0.0012005,0.0012005,0.0012005
6,316.244,1.27879,1.75564,1.44362,0.49487,0.66376,0.52579,0.36777,1.03312,1.54608,1.2935,0.00118812,0.00118812,0.00118812
7,367.639,1.16481,1.61738,1.36295,0.56945,0.74752,0.58396,0.44992,0.79968,1.16302,1.13175,0.00117575,0.00117575,0.00117575
8,419.348,1.1188,1.52272,1.327,0.5795,0.71807,0.58024,0.44967,0.82632,1.20835,1.14628,0.00116337,0.00116337,0.00116337
9,470.62,1.0674,1.45715,1.30901,0.63351,0.77298,0.63274,0.49685,0.7572,1.02617,1.11625,0.001151,0.001151,0.001151
10,522.203,1.03967,1.41305,1.28407,0.64866,0.76346,0.65137,0.51763,0.70682,0.99915,1.07995,0.00113863,0.00113863,0.00113863
11,573.787,1.01381,1.37424,1.26162,0.53835,0.76782,0.63865,0.51073,0.71227,1.32877,1.08854,0.00112625,0.00112625,0.00112625
12,625.197,0.94011,1.32491,1.21585,0.63162,0.79531,0.69237,0.5711,0.64895,0.9094,1.0429,0.00111388,0.00111388,0.00111388
13,676.654,0.92883,1.26351,1.20746,0.63691,0.82054,0.71619,0.58801,0.62211,0.9043,1.00718,0.0011015,0.0011015,0.0011015
14,728.31,0.92099,1.2823,1.2095,0.65906,0.79986,0.69849,0.56617,0.66753,0.89548,1.04578,0.00108913,0.00108913,0.00108913
15,779.788,0.90322,1.22072,1.1893,0.61312,0.80865,0.71958,0.58868,0.61323,0.88087,1.00471,0.00107675,0.00107675,0.00107675
16,831.312,0.89487,1.23965,1.20032,0.63175,0.77873,0.69153,0.55548,0.67552,0.95682,1.0496,0.00106437,0.00106437,0.00106437
17,882.766,0.86372,1.19217,1.1663,0.62968,0.8261,0.69581,0.56907,0.60827,0.87321,1.00854,0.001052,0.001052,0.001052
18,934.358,0.87025,1.19808,1.17816,0.65865,0.8256,0.72086,0.59396,0.60879,0.86827,0.99445,0.00103962,0.00103962,0.00103962
19,985.986,0.84101,1.16572,1.15686,0.65609,0.81953,0.73283,0.61779,0.5709,0.84309,0.97572,0.00102725,0.00102725,0.00102725
20,1037.36,0.82706,1.12839,1.13368,0.67187,0.89135,0.75378,0.62716,0.54542,0.773,0.95921,0.00101488,0.00101488,0.00101488
21,1088.75,0.84342,1.13327,1.15251,0.68858,0.84869,0.74186,0.62136,0.56576,0.81391,0.97571,0.0010025,0.0010025,0.0010025
22,1140.13,0.7963,1.11954,1.13415,0.644,0.85118,0.74684,0.63278,0.55016,0.79263,0.96195,0.000990125,0.000990125,0.000990125
23,1191.64,0.79022,1.09391,1.12781,0.68325,0.89108,0.75223,0.62829,0.54147,0.76454,0.955,0.00097775,0.00097775,0.00097775
24,1243.08,0.7661,1.06769,1.11011,0.70104,0.83971,0.79391,0.67312,0.54402,0.76063,0.94998,0.000965375,0.000965375,0.000965375
25,1294.6,0.76605,1.02675,1.09364,0.70208,0.8541,0.78531,0.67647,0.5067,0.74016,0.92935,0.000953,0.000953,0.000953
26,1346.25,0.75703,1.03108,1.09267,0.70513,0.84563,0.79683,0.67482,0.51821,0.74091,0.94142,0.000940625,0.000940625,0.000940625
27,1397.83,0.75144,1.03595,1.10214,0.70491,0.84828,0.77922,0.66087,0.51324,0.76136,0.92714,0.00092825,0.00092825,0.00092825
28,1449.38,0.74747,1.01163,1.09335,0.72841,0.89718,0.83244,0.71644,0.49798,0.67553,0.9171,0.000915875,0.000915875,0.000915875
29,1501.03,0.73867,1.00597,1.09309,0.67915,0.89296,0.75998,0.65429,0.48435,0.74595,0.9167,0.0009035,0.0009035,0.0009035
30,1552.55,0.71831,1.00049,1.07992,0.69373,0.85193,0.8012,0.68901,0.50146,0.72098,0.93755,0.000891125,0.000891125,0.000891125
31,1603.97,0.726,0.96372,1.0769,0.72445,0.86861,0.82091,0.70843,0.48344,0.69273,0.91695,0.00087875,0.00087875,0.00087875
32,1655.57,0.70471,0.95012,1.07515,0.7557,0.84617,0.83203,0.72567,0.45434,0.66488,0.89998,0.000866375,0.000866375,0.000866375
33,1707.32,0.69813,0.95554,1.06913,0.78117,0.84269,0.87581,0.77103,0.47596,0.65099,0.91626,0.000854,0.000854,0.000854
34,1758.89,0.69188,0.92275,1.06462,0.78975,0.85513,0.87489,0.75917,0.48242,0.63976,0.92401,0.000841625,0.000841625,0.000841625
35,1810.38,0.67399,0.92721,1.04694,0.79645,0.85437,0.8928,0.79267,0.45217,0.62231,0.90163,0.00082925,0.00082925,0.00082925
36,1862.05,0.66723,0.9172,1.04624,0.78889,0.84829,0.88163,0.77984,0.45424,0.60543,0.8938,0.000816875,0.000816875,0.000816875
37,1913.72,0.68737,0.91087,1.06485,0.71527,0.85064,0.83845,0.73511,0.47313,0.69529,0.90808,0.0008045,0.0008045,0.0008045
38,1965.32,0.67042,0.91667,1.05282,0.79858,0.85714,0.90544,0.81108,0.44415,0.57082,0.89819,0.000792125,0.000792125,0.000792125
39,2017.06,0.65324,0.86011,1.04273,0.80134,0.86948,0.90998,0.80224,0.4573,0.5934,0.89905,0.00077975,0.00077975,0.00077975
40,2068.76,0.6559,0.86315,1.04023,0.85668,0.86026,0.93416,0.83584,0.45012,0.52438,0.89337,0.000767375,0.000767375,0.000767375
41,2120.41,0.66106,0.87533,1.04216,0.82397,0.88185,0.92248,0.82886,0.42024,0.53675,0.87579,0.000755,0.000755,0.000755
42,2171.95,0.65796,0.82142,1.04245,0.85758,0.88767,0.93916,0.83733,0.43084,0.50069,0.88994,0.000742625,0.000742625,0.000742625
43,2223.7,0.63029,0.80782,1.02839,0.80588,0.85079,0.92667,0.82563,0.43996,0.58115,0.88779,0.00073025,0.00073025,0.00073025
44,2275.34,0.62893,0.8357,1.03185,0.88378,0.84631,0.94016,0.83935,0.41996,0.50775,0.87414,0.000717875,0.000717875,0.000717875
45,2327.04,0.63398,0.77631,1.03233,0.88022,0.89076,0.95818,0.86483,0.43134,0.45716,0.88012,0.0007055,0.0007055,0.0007055
46,2378.74,0.63448,0.7776,1.03381,0.91375,0.87644,0.95315,0.86285,0.41832,0.43619,0.87487,0.000693125,0.000693125,0.000693125
47,2430.32,0.62496,0.77223,1.03166,0.86666,0.91543,0.96053,0.86348,0.43263,0.45209,0.88481,0.00068075,0.00068075,0.00068075
48,2481.83,0.60529,0.735,1.01298,0.91884,0.88759,0.95754,0.86597,0.43012,0.44095,0.88003,0.000668375,0.000668375,0.000668375
49,2533.43,0.59866,0.73072,1.00295,0.85411,0.89245,0.95336,0.85748,0.43438,0.45227,0.88432,0.000656,0.000656,0.000656
50,2585.07,0.60535,0.74089,1.01781,0.90887,0.90838,0.96821,0.87857,0.40089,0.39776,0.87379,0.000643625,0.000643625,0.000643625
51,2636.74,0.60722,0.72702,1.01885,0.91766,0.89959,0.96601,0.87345,0.40405,0.42209,0.86241,0.00063125,0.00063125,0.00063125
52,2688.22,0.59891,0.71373,1.0149,0.91419,0.89876,0.96042,0.87365,0.40122,0.44117,0.86761,0.000618875,0.000618875,0.000618875
53,2739.68,0.59276,0.6944,1.00811,0.94125,0.88491,0.96856,0.88251,0.40579,0.39981,0.87076,0.0006065,0.0006065,0.0006065
54,2791.17,0.58756,0.68219,1.01255,0.9488,0.92277,0.97223,0.89208,0.39228,0.36779,0.86793,0.000594125,0.000594125,0.000594125
55,2842.57,0.57997,0.68829,1.00248,0.91837,0.91861,0.96912,0.88419,0.3906,0.38252,0.86122,0.00058175,0.00058175,0.00058175
