epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.4646,1.18935,3.14162,1.29834,0.38968,0.35547,0.368,0.2677,0.8429,2.45088,1.07058,0.000412138,0.000412138,0.000412138
2,19.9109,1.18849,2.38821,1.24898,0.49621,0.53615,0.42814,0.28608,1.08722,2.18986,1.26315,0.000820599,0.000820599,0.000820599
3,29.1601,1.19704,2.08889,1.26182,0.3695,0.64108,0.35756,0.23823,1.06674,3.82229,1.24518,0.00122081,0.00122081,0.00122081
4,38.4501,1.17265,1.87137,1.25386,0.48261,0.66673,0.52424,0.35874,1.01153,1.67484,1.19027,0.00121287,0.00121287,0.00121287
5,47.6071,1.1274,1.70735,1.23444,0.51437,0.67237,0.61156,0.44715,0.90817,1.4263,1.11998,0.0012005,0.0012005,0.0012005
6,56.6103,1.08714,1.59288,1.20254,0.47171,0.67714,0.57288,0.43008,0.84477,1.30091,1.07403,0.00118812,0.00118812,0.00118812
7,65.6638,1.02022,1.49444,1.17625,0.55024,0.71998,0.60227,0.46798,0.77986,1.27075,1.06254,0.00117575,0.00117575,0.00117575
8,74.826,1.00782,1.40812,1.1636,0.52608,0.77364,0.63895,0.47452,0.82669,1.22987,1.07838,0.00116337,0.00116337,0.00116337
9,83.7597,0.97538,1.33639,1.14549,0.53519,0.77141,0.67424,0.5323,0.71194,1.06795,1.01485,0.001151,0.001151,0.001151
10,92.7794,0.92897,1.29221,1.12211,0.6066,0.83428,0.70432,0.54209,0.75207,0.98566,1.03124,0.00113863,0.00113863,0.00113863
11,101.794,0.9314,1.29987,1.12552,0.57215,0.83837,0.69666,0.55489,0.69641,1.04331,1.00706,0.00112625,0.00112625,0.00112625
12,110.787,0.91655,1.26006,1.11326,0.67403,0.8221,0.76475,0.61235,0.69236,0.90126,0.99047,0.00111388,0.00111388,0.00111388
13,119.91,0.90317,1.23793,1.11208,0.62749,0.76369,0.72754,0.56969,0.66421,0.97308,0.98476,0.0011015,0.0011015,0.0011015
14,129.096,0.88322,1.20835,1.10202,0.62379,0.79713,0.76276,0.63062,0.65849,0.88571,0.99411,0.00108913,0.00108913,0.00108913
15,138.202,0.85012,1.15556,1.08512,0.65401,0.78479,0.77343,0.61277,0.64414,0.94172,0.9922,0.00107675,0.00107675,0.00107675
16,147.665,0.85609,1.17166,1.09063,0.71823,0.82058,0.81945,0.67334,0.62035,0.89969,0.97979,0.00106437,0.00106437,0.00106437
17,156.807,0.86406,1.15107,1.08975,0.69839,0.80226,0.8022,0.65263,0.63866,0.85681,0.96308,0.001052,0.001052,0.001052
18,165.899,0.81684,1.1032,1.07363,0.76589,0.79763,0.83818,0.69243,0.61891,0.80351,0.97081,0.00103962,0.00103962,0.00103962
19,175.069,0.84494,1.11455,1.0829,0.66821,0.80404,0.81999,0.6729,0.62643,0.88093,0.97216,0.00102725,0.00102725,0.00102725
20,184.125,0.81505,1.10001,1.06496,0.68262,0.80359,0.79826,0.64796,0.67477,0.85418,1.00362,0.00101488,0.00101488,0.00101488
21,193.22,0.7994,1.06562,1.06352,0.67072,0.87052,0.82508,0.67526,0.61576,0.79967,0.96071,0.0010025,0.0010025,0.0010025
22,202.438,0.79298,1.05212,1.06607,0.76812,0.80501,0.86185,0.72761,0.58819,0.74679,0.94478,0.000990125,0.000990125,0.000990125
23,211.629,0.79948,1.05097,1.06461,0.75789,0.78207,0.85667,0.72599,0.59589,0.77459,0.95058,0.00097775,0.00097775,0.00097775
24,220.804,0.77067,1.01918,1.04892,0.73025,0.83511,0.87645,0.73668,0.56986,0.74777,0.93945,0.000965375,0.000965375,0.000965375
25,229.936,0.76967,1.01007,1.04539,0.64837,0.8476,0.83876,0.70361,0.57264,0.82881,0.94823,0.000953,0.000953,0.000953
26,239.237,0.75248,1.02054,1.03588,0.71699,0.83135,0.86383,0.73394,0.56395,0.76971,0.93937,0.000940625,0.000940625,0.000940625
27,248.45,0.75238,0.9688,1.03553,0.78965,0.77011,0.86166,0.72469,0.56462,0.75109,0.94127,0.00092825,0.00092825,0.00092825
28,257.592,0.75114,0.98834,1.04015,0.68315,0.87238,0.85727,0.71856,0.56715,0.79683,0.93793,0.000915875,0.000915875,0.000915875
29,266.926,0.73426,0.9675,1.02594,0.8102,0.8172,0.88532,0.75489,0.53355,0.67906,0.9213,0.0009035,0.0009035,0.0009035
30,276.184,0.73604,0.93192,1.02337,0.77352,0.85164,0.88862,0.75874,0.55477,0.69197,0.93233,0.000891125,0.000891125,0.000891125
