epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.1104,1.04027,3.59237,1.31493,0.28322,0.4775,0.33641,0.21613,1.15585,1.96974,1.53924,0.000412138,0.000412138,0.000412138
2,128.562,1.16931,1.82427,1.34386,0.29327,0.28437,0.21152,0.13743,1.62044,4.43499,1.91472,0.000820599,0.000820599,0.000820599
3,177.055,1.21568,1.69551,1.37604,0.56868,0.37666,0.3663,0.25478,1.1651,2.82261,1.50333,0.00122081,0.00122081,0.00122081
4,227.142,1.1976,1.59599,1.36355,0.26412,0.54982,0.36455,0.24071,1.23476,4.98709,1.54923,0.00121287,0.00121287,0.00121287
5,278.17,1.1297,1.52521,1.32093,0.46974,0.65345,0.56956,0.41885,0.91423,1.46189,1.26865,0.0012005,0.0012005,0.0012005
6,369.81,1.08235,1.4648,1.28095,0.36977,0.80246,0.59449,0.45198,0.84487,3.60518,1.14588,0.00118812,0.00118812,0.00118812
7,406.223,0.99537,1.36,1.23587,0.54548,0.74039,0.62464,0.48984,0.76078,1.09892,1.11473,0.00117575,0.00117575,0.00117575
8,475.98,0.9959,1.32283,1.22524,0.57482,0.82059,0.65382,0.50063,0.74702,1.05123,1.09815,0.00116337,0.00116337,0.00116337
9,539.545,0.95336,1.25911,1.21,0.60181,0.79755,0.68382,0.54578,0.70079,0.98452,1.06786,0.001151,0.001151,0.001151
10,574.615,0.91791,1.2063,1.16969,0.58826,0.83132,0.69071,0.55616,0.65275,0.9532,1.02586,0.00113863,0.00113863,0.00113863
11,610.875,0.89427,1.20726,1.16511,0.65664,0.80712,0.68415,0.56064,0.63055,0.91211,1.03963,0.00112625,0.00112625,0.00112625
12,663.872,0.89514,1.19312,1.15713,0.59057,0.79609,0.68165,0.53882,0.69462,1.07606,1.06541,0.00111388,0.00111388,0.00111388
13,698.238,0.88447,1.16864,1.15365,0.68425,0.86732,0.76868,0.62963,0.6038,0.82822,0.98382,0.0011015,0.0011015,0.0011015
14,736.001,0.85636,1.12922,1.14448,0.47704,0.76017,0.66275,0.52192,0.69175,1.11964,1.06815,0.00108913,0.00108913,0.00108913
15,777.12,0.81047,1.06514,1.12197,0.67282,0.80479,0.75425,0.62122,0.63328,0.84104,1.01121,0.00107675,0.00107675,0.00107675
16,850.603,0.81975,1.09332,1.12646,0.66516,0.85285,0.7821,0.65134,0.57988,0.79013,0.98164,0.00106437,0.00106437,0.00106437
17,897.591,0.79875,1.06148,1.10999,0.69546,0.87336,0.77543,0.6426,0.59308,0.7726,0.99839,0.001052,0.001052,0.001052
18,932.009,0.76905,1.02576,1.09234,0.60908,0.82482,0.71994,0.59082,0.58921,0.85959,1.00748,0.00103962,0.00103962,0.00103962
19,967.478,0.80079,1.02973,1.11116,0.6551,0.87701,0.80271,0.67923,0.52585,0.74421,0.95249,0.00102725,0.00102725,0.00102725
20,1006.04,0.74814,0.99395,1.07946,0.70466,0.85475,0.82041,0.70325,0.53991,0.77604,0.96274,0.00101488,0.00101488,0.00101488
21,1041.04,0.73918,0.97411,1.0723,0.75505,0.81757,0.85705,0.73748,0.51356,0.66781,0.93631,0.0010025,0.0010025,0.0010025
22,1097.49,0.73482,0.96296,1.07873,0.78418,0.81631,0.85198,0.73785,0.50085,0.68848,0.928,0.000990125,0.000990125,0.000990125
23,1171.57,0.74506,0.95114,1.08082,0.76671,0.82119,0.86638,0.74941,0.49091,0.7055,0.92595,0.00097775,0.00097775,0.00097775
24,1206.33,0.71993,0.92378,1.06465,0.732,0.82698,0.83509,0.71652,0.49415,0.69376,0.92232,0.000965375,0.000965375,0.000965375
25,1241.61,0.72136,0.9296,1.05981,0.82379,0.78972,0.87985,0.77239,0.48589,0.63024,0.91804,0.000953,0.000953,0.000953
26,1301.05,0.69592,0.91789,1.04726,0.74331,0.89573,0.86058,0.75423,0.48161,0.62707,0.91926,0.000940625,0.000940625,0.000940625
27,1351.1,0.70085,0.88215,1.04803,0.76542,0.83163,0.87883,0.77249,0.48608,0.63241,0.91774,0.00092825,0.00092825,0.00092825
28,1386.01,0.68712,0.90897,1.04261,0.81272,0.85173,0.89954,0.78633,0.47223,0.62806,0.92325,0.000915875,0.000915875,0.000915875
29,1420.98,0.67396,0.85995,1.03643,0.76229,0.86286,0.88189,0.78075,0.45882,0.63793,0.90083,0.0009035,0.0009035,0.0009035
30,1484.99,0.6712,0.86907,1.03457,0.80987,0.80526,0.87357,0.77951,0.45918,0.61816,0.89853,0.000891125,0.000891125,0.000891125
31,1526.23,0.66938,0.83215,1.03119,0.76294,0.86369,0.8803,0.75528,0.49856,0.76585,0.92172,0.00087875,0.00087875,0.00087875
32,1557.5,0.64836,0.82222,1.02431,0.8193,0.84188,0.91297,0.81191,0.47246,0.59444,0.90954,0.000866375,0.000866375,0.000866375
33,1598.09,0.643,0.81165,1.02274,0.81972,0.85046,0.91267,0.81058,0.44485,0.57122,0.90295,0.000854,0.000854,0.000854
34,1629.27,0.6521,0.80728,1.02293,0.85023,0.83963,0.92276,0.82413,0.44381,0.55435,0.89657,0.000841625,0.000841625,0.000841625
35,1674.55,0.64571,0.78357,1.02083,0.78989,0.86251,0.91699,0.8146,0.45683,0.6499,0.90425,0.00082925,0.00082925,0.00082925
36,1712.65,0.62692,0.80133,1.0193,0.85272,0.85258,0.93074,0.83309,0.43976,0.53521,0.88649,0.000816875,0.000816875,0.000816875
37,1776.97,0.61695,0.7691,1.01465,0.82356,0.86136,0.91683,0.82841,0.42459,0.56288,0.888,0.0008045,0.0008045,0.0008045
38,1867.07,0.6157,0.7363,1.00635,0.79814,0.79602,0.89065,0.78648,0.48024,0.62112,0.91744,0.000792125,0.000792125,0.000792125
39,1955.92,0.60909,0.75008,0.99984,0.8867,0.90127,0.95055,0.85647,0.42823,0.45819,0.88937,0.00077975,0.00077975,0.00077975
40,2088.01,0.6086,0.72171,1.00766,0.87365,0.86628,0.948,0.84934,0.4346,0.4992,0.87922,0.000767375,0.000767375,0.000767375
41,2136.49,0.60624,0.74774,1.00714,0.87477,0.88982,0.94606,0.84627,0.43037,0.47808,0.88782,0.000755,0.000755,0.000755
42,2204.34,0.60802,0.7185,0.99952,0.8865,0.86745,0.95456,0.86734,0.41049,0.45934,0.87444,0.000742625,0.000742625,0.000742625
43,2246.17,0.58504,0.69332,0.9862,0.84222,0.88501,0.94815,0.86123,0.40627,0.4711,0.8727,0.00073025,0.00073025,0.00073025
44,2361.23,0.57228,0.66898,0.98967,0.85898,0.90611,0.94798,0.86205,0.40691,0.47042,0.87229,0.000717875,0.000717875,0.000717875
45,2450.47,0.56728,0.64089,0.97898,0.92263,0.90109,0.97124,0.88343,0.40239,0.38815,0.86951,0.0007055,0.0007055,0.0007055
46,2519.92,0.5812,0.67095,0.99386,0.91136,0.88144,0.9594,0.87138,0.40444,0.41565,0.87888,0.000693125,0.000693125,0.000693125
47,2634.08,0.55881,0.64445,0.97688,0.93465,0.89975,0.96981,0.87965,0.41572,0.40656,0.87973,0.00068075,0.00068075,0.00068075
48,2796.6,0.57268,0.65682,0.98875,0.90197,0.92964,0.9729,0.8834,0.39937,0.4056,0.8677,0.000668375,0.000668375,0.000668375
49,2887.24,0.54923,0.62509,0.97477,0.93117,0.90802,0.97599,0.89369,0.39034,0.38556,0.85918,0.000656,0.000656,0.000656
50,3029.05,0.56705,0.63647,0.98614,0.90286,0.89221,0.96412,0.87748,0.39886,0.4184,0.86438,0.000643625,0.000643625,0.000643625
51,3136.87,0.56412,0.64273,0.97945,0.93274,0.8776,0.96781,0.88762,0.3947,0.40063,0.8647,0.00063125,0.00063125,0.00063125
52,3231.64,0.54692,0.6095,0.96707,0.90868,0.92523,0.97046,0.89435,0.37969,0.36369,0.85278,0.000618875,0.000618875,0.000618875
53,3280.07,0.54788,0.61794,0.96982,0.89645,0.89867,0.96157,0.8815,0.38352,0.42531,0.85885,0.0006065,0.0006065,0.0006065
54,3335.7,0.54455,0.58451,0.96606,0.89774,0.90653,0.96631,0.89044,0.37807,0.41658,0.85839,0.000594125,0.000594125,0.000594125
55,3426.15,0.5484,0.58694,0.97081,0.92834,0.92541,0.97686,0.89633,0.38869,0.35905,0.8575,0.00058175,0.00058175,0.00058175
56,3498.48,0.53153,0.56891,0.9639,0.93008,0.93497,0.97873,0.8966,0.37834,0.36263,0.85216,0.000569375,0.000569375,0.000569375
57,3675.73,0.52581,0.57052,0.96392,0.91208,0.93028,0.97507,0.89405,0.3765,0.38461,0.85356,0.000557,0.000557,0.000557
58,3903.65,0.52247,0.57398,0.96596,0.933,0.92115,0.97703,0.89398,0.38215,0.35932,0.85657,0.000544625,0.000544625,0.000544625
59,4058.78,0.52458,0.55251,0.96421,0.93819,0.90933,0.97669,0.90121,0.37226,0.35979,0.85084,0.00053225,0.00053225,0.00053225
60,4537.86,0.51117,0.55906,0.95382,0.9185,0.93148,0.97587,0.89967,0.35751,0.35796,0.84756,0.000519875,0.000519875,0.000519875
61,4644.51,0.51233,0.55102,0.95469,0.93445,0.93135,0.98138,0.89629,0.40017,0.34362,0.86667,0.0005075,0.0005075,0.0005075
62,4761.39,0.51524,0.53499,0.95608,0.93551,0.93562,0.97695,0.90228,0.37577,0.34668,0.85436,0.000495125,0.000495125,0.000495125
63,4901.11,0.50286,0.5335,0.95433,0.93568,0.92707,0.97545,0.90172,0.36028,0.34103,0.847,0.00048275,0.00048275,0.00048275
64,5042.81,0.50086,0.52363,0.95024,0.95735,0.90892,0.98007,0.90237,0.36479,0.33797,0.84571,0.000470375,0.000470375,0.000470375
65,5162.01,0.49814,0.51146,0.94552,0.95049,0.94189,0.98336,0.91544,0.35553,0.31477,0.84857,0.000458,0.000458,0.000458
66,5273.09,0.50195,0.50891,0.94518,0.94858,0.92518,0.98261,0.9136,0.35621,0.32,0.84049,0.000445625,0.000445625,0.000445625
67,5353.04,0.48029,0.50036,0.94417,0.93173,0.91939,0.97805,0.90532,0.35431,0.35388,0.84076,0.00043325,0.00043325,0.00043325
68,5457.43,0.49033,0.5022,0.9458,0.96308,0.93151,0.98489,0.91647,0.3582,0.32176,0.84584,0.000420875,0.000420875,0.000420875
69,5517.41,0.48064,0.49643,0.93719,0.95741,0.91568,0.97887,0.90996,0.35401,0.33197,0.84085,0.0004085,0.0004085,0.0004085
70,5678.11,0.47084,0.48427,0.94342,0.94509,0.93894,0.98406,0.92102,0.34327,0.31158,0.83938,0.000396125,0.000396125,0.000396125
71,5862.93,0.47286,0.49134,0.9401,0.90937,0.94319,0.97239,0.9071,0.35056,0.35337,0.84171,0.00038375,0.00038375,0.00038375
72,5956.33,0.46678,0.46638,0.93515,0.93159,0.95435,0.9825,0.91399,0.36184,0.30793,0.84326,0.000371375,0.000371375,0.000371375
73,6018.53,0.46959,0.47302,0.93911,0.89484,0.95006,0.97965,0.90467,0.35279,0.35416,0.8427,0.000359,0.000359,0.000359
74,6603.83,0.47676,0.49222,0.93914,0.95009,0.92751,0.98431,0.92026,0.34949,0.30299,0.84649,0.000346625,0.000346625,0.000346625
75,6674.92,0.46663,0.46874,0.93483,0.9347,0.95485,0.98369,0.91759,0.34199,0.31001,0.83855,0.00033425,0.00033425,0.00033425
76,6756.4,0.44873,0.44513,0.92475,0.93908,0.95789,0.98475,0.91832,0.34729,0.30376,0.84101,0.000321875,0.000321875,0.000321875
77,7124.88,0.45744,0.45939,0.93672,0.93714,0.93937,0.9816,0.91887,0.33744,0.31634,0.83715,0.0003095,0.0003095,0.0003095
78,7228.5,0.44216,0.44187,0.9235,0.94277,0.95785,0.98693,0.92048,0.34979,0.29441,0.84129,0.000297125,0.000297125,0.000297125
79,7268.91,0.43499,0.42758,0.91808,0.96115,0.94589,0.98833,0.92453,0.33991,0.28614,0.8305,0.00028475,0.00028475,0.00028475
80,7311.12,0.44397,0.45037,0.92839,0.95146,0.94076,0.98629,0.92437,0.34261,0.29652,0.83257,0.000272375,0.000272375,0.000272375
81,7337.33,0.4351,0.43253,0.91965,0.94674,0.9563,0.9861,0.92797,0.33926,0.29098,0.83703,0.00026,0.00026,0.00026
82,7364.16,0.44165,0.4309,0.92323,0.9461,0.96137,0.9877,0.92457,0.34314,0.28766,0.83992,0.000247625,0.000247625,0.000247625
83,7393.88,0.42525,0.42304,0.92567,0.92311,0.96823,0.98607,0.92647,0.33509,0.29926,0.82936,0.00023525,0.00023525,0.00023525
84,7423.56,0.43814,0.43596,0.93083,0.96661,0.95871,0.98834,0.92791,0.33231,0.2765,0.82868,0.000222875,0.000222875,0.000222875
85,7453.17,0.43553,0.41796,0.91691,0.94544,0.9721,0.98881,0.92987,0.33081,0.28473,0.83179,0.0002105,0.0002105,0.0002105
86,7483.02,0.42042,0.41329,0.92065,0.95339,0.95021,0.98777,0.92713,0.32544,0.28662,0.82926,0.000198125,0.000198125,0.000198125
87,7511.25,0.41148,0.41247,0.91505,0.95667,0.95998,0.98911,0.92744,0.32974,0.27177,0.83119,0.00018575,0.00018575,0.00018575
88,7536.75,0.42406,0.42092,0.92296,0.95728,0.96648,0.98949,0.93019,0.32898,0.2682,0.83207,0.000173375,0.000173375,0.000173375
89,7562.4,0.41207,0.39982,0.91575,0.95556,0.96449,0.98985,0.93108,0.32149,0.26695,0.83097,0.000161,0.000161,0.000161
90,7588.19,0.40779,0.40386,0.91092,0.96835,0.95811,0.99,0.93081,0.32191,0.26643,0.82855,0.000148625,0.000148625,0.000148625
91,7647.04,0.2981,0.26,0.84611,0.95868,0.9688,0.9894,0.92931,0.32284,0.27075,0.83054,0.00013625,0.00013625,0.00013625
92,7672.77,0.3002,0.25161,0.84075,0.95851,0.94996,0.9885,0.93001,0.32498,0.28185,0.83093,0.000123875,0.000123875,0.000123875
93,7698.43,0.28865,0.24035,0.84019,0.95611,0.96219,0.98965,0.93042,0.32247,0.27586,0.83365,0.0001115,0.0001115,0.0001115
94,7724.1,0.28981,0.24133,0.83747,0.96084,0.94862,0.9876,0.93356,0.31209,0.27711,0.82622,9.9125e-05,9.9125e-05,9.9125e-05
95,7749.68,0.28421,0.2363,0.83903,0.96047,0.95353,0.98912,0.9336,0.312,0.26399,0.82213,8.675e-05,8.675e-05,8.675e-05
96,7775.36,0.27662,0.22935,0.83702,0.96168,0.96509,0.98975,0.93505,0.31314,0.26018,0.82433,7.4375e-05,7.4375e-05,7.4375e-05
97,7801.07,0.27538,0.22782,0.8332,0.96401,0.95977,0.98976,0.93326,0.31585,0.26207,0.82675,6.2e-05,6.2e-05,6.2e-05
98,7826.8,0.2725,0.223,0.83254,0.95654,0.96638,0.99039,0.93678,0.31459,0.25738,0.82714,4.9625e-05,4.9625e-05,4.9625e-05
99,7852.5,0.26581,0.22314,0.8303,0.96044,0.95982,0.99044,0.93497,0.31543,0.25664,0.82514,3.725e-05,3.725e-05,3.725e-05
100,7878.12,0.26898,0.21962,0.83415,0.96698,0.95829,0.99002,0.936,0.31088,0.26011,0.82419,2.4875e-05,2.4875e-05,2.4875e-05
