epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,4.62063,1.68822,3.85909,3.97286,1.73205,0,0.01681,0.67667,0.10818,0.05566,0.00494,0.13667,0.00719,0.00232,1.31621,2.72834,3.55786,1.56614,0,0.00012221,0.00012221,0.00012221
2,6.90978,1.33473,2.71184,3.36638,1.472,0,0.01785,0.59,0.16575,0.07521,0.00853,0.24667,0.04102,0.00977,1.46036,2.41289,3.52779,1.7174,0,0.000253844,0.000253844,0.000253844
3,9.16187,1.14727,2.19198,2.70023,1.3354,0,0.02143,0.64,0.20077,0.13509,0.30984,0.24,0.14163,0.04912,1.38702,2.32993,3.08399,1.54068,0,0.000383717,0.000383717,0.000383717
4,11.3263,1.04578,1.93526,2.35375,1.2279,0,0.57226,0.23333,0.20044,0.12373,0.76823,0.03536,0.09438,0.02396,1.5626,2.40539,3.04091,1.67016,0,0.000511831,0.000511831,0.000511831
5,13.4659,1.07799,1.83135,2.24917,1.21872,0,0.61677,0.17333,0.22169,0.12961,0.29868,0.16,0.07141,0.01825,1.46008,2.6072,2.97728,1.62983,0,0.000638185,0.000638185,0.000638185
6,15.6583,0.96042,1.69947,1.96532,1.14499,0,0.99168,0.0768,0.25364,0.12951,0.8752,0.03013,0.05284,0.01307,1.73132,3.03521,2.77729,1.7487,0,0.000762779,0.000762779,0.000762779
7,17.9014,0.95934,1.57131,1.83832,1.16897,0,0.53149,0.37333,0.36015,0.21163,0.42777,0.24472,0.18755,0.06,1.3148,2.52825,2.14918,1.46309,0,0.000885614,0.000885614,0.000885614
8,20.1281,0.96625,1.51351,1.71744,1.14366,0,0.56946,0.36,0.37623,0.21377,0.49137,0.25,0.21829,0.05309,1.55219,2.538,2.00145,1.62054,0,0.00100669,0.00100669,0.00100669
9,22.3855,0.95667,1.50955,1.64826,1.14319,0,0.46959,0.27,0.37771,0.23308,0.42604,0.20826,0.24559,0.06094,1.36724,2.40321,1.91329,1.4916,0,0.00105234,0.00105234,0.00105234
10,24.6048,0.89719,1.48934,1.59076,1.10492,0,0.34118,0.47936,0.43387,0.25623,0.18897,0.30333,0.20178,0.06502,1.26972,2.28092,1.83907,1.41437,0,0.00104501,0.00104501,0.00104501
11,26.8816,0.91547,1.46292,1.5731,1.11369,0,0.48763,0.47168,0.55358,0.3095,0.42349,0.40096,0.43698,0.13703,1.33837,2.25825,1.75915,1.49348,0,0.00103767,0.00103767,0.00103767
12,29.1102,0.87302,1.3495,1.43482,1.09025,0,0.45661,0.59435,0.53163,0.31242,0.39589,0.44724,0.41571,0.12324,1.31716,2.3471,1.72884,1.43216,0,0.00103034,0.00103034,0.00103034
13,31.3912,0.82755,1.34392,1.44789,1.06867,0,0.45681,0.58339,0.5924,0.34001,0.47251,0.53673,0.52307,0.14542,1.34932,2.15442,1.69448,1.48103,0,0.00102301,0.00102301,0.00102301
14,33.6037,0.83673,1.31799,1.33126,1.0827,0,0.60308,0.63345,0.66015,0.38722,0.64311,0.64896,0.63946,0.17834,1.42293,1.91316,1.59551,1.52092,0,0.00101568,0.00101568,0.00101568
15,35.8881,0.87686,1.33513,1.3049,1.08343,0,0.75072,0.65667,0.74692,0.42474,0.66183,0.55758,0.59967,0.19416,1.3341,2.13123,1.36847,1.43675,0,0.00100834,0.00100834,0.00100834
16,38.153,0.81956,1.19477,1.26648,1.07495,0,0.75959,0.73667,0.80974,0.47892,0.62246,0.63866,0.66144,0.202,1.2289,2.07621,1.19562,1.38742,0,0.00100101,0.00100101,0.00100101
17,40.4504,0.79465,1.14838,1.19136,1.04689,0,0.73154,0.65236,0.7318,0.45408,0.77424,0.6654,0.69505,0.21922,1.32874,1.92416,1.25544,1.49888,0,0.000993678,0.000993678,0.000993678
18,42.6592,0.75883,1.07839,1.21434,1.02118,0,0.74928,0.53863,0.66558,0.41268,0.65409,0.69068,0.65559,0.22794,1.35387,1.81986,1.31374,1.51865,0,0.000986346,0.000986346,0.000986346
19,45.0109,0.79816,1.19047,1.17912,1.04771,0,0.77495,0.77667,0.77319,0.46176,0.71687,0.64881,0.64969,0.23396,1.35974,1.92291,1.27982,1.44648,0,0.000979013,0.000979013,0.000979013
