epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,5.11363,1.78308,4.16293,4.05414,1.77217,0,0.0219,0.72857,0.09771,0.04566,0.00296,0.13571,0.0058,0.00154,1.38556,2.79784,3.43132,1.59222,0,8.181e-05,8.181e-05,8.181e-05
2,7.10429,1.37578,2.88938,3.79023,1.46607,0,0.02187,0.78571,0.13353,0.07438,0.00464,0.15714,0.00759,0.00171,1.28674,2.6546,3.35771,1.47703,0,0.00017157,0.00017157,0.00017157
3,9.11937,1.12088,2.24708,3.33785,1.28741,0,0.01954,0.80714,0.15473,0.10676,0.00928,0.4,0.07871,0.0219,1.12467,2.28137,3.27681,1.37152,0,0.00026013,0.00026013,0.00026013
4,11.1227,1.0204,1.98412,2.92142,1.24396,0,0.02356,0.81429,0.21678,0.13305,0.01449,0.50714,0.11326,0.0374,1.31353,2.1936,3.06206,1.49243,0,0.000347491,0.000347491,0.000347491
5,13.1585,1.02056,1.84427,2.64262,1.24106,0,0.75975,0.10035,0.24564,0.17213,0.69836,0.07857,0.14968,0.05362,1.14692,2.35875,2.76897,1.29006,0,0.000433651,0.000433651,0.000433651
6,15.1439,1.02652,1.69822,2.39875,1.23134,0,0.49025,0.22864,0.27181,0.17041,0.45052,0.13781,0.14287,0.04437,1.32095,2.51233,2.71819,1.40411,0,0.000518612,0.000518612,0.000518612
7,17.0721,0.98026,1.63244,2.21674,1.22558,0,0.52066,0.07938,0.32077,0.19837,0.52066,0.07938,0.14861,0.05104,1.35801,2.50917,2.73674,1.44078,0,0.000602372,0.000602372,0.000602372
8,19.025,0.95542,1.52885,2.08429,1.19475,0,0.56661,0.30863,0.3522,0.2368,0.48801,0.18571,0.19488,0.06237,1.32416,2.40849,2.55766,1.4913,0,0.000684933,0.000684933,0.000684933
9,20.941,0.91611,1.49269,1.9297,1.16094,0,0.52331,0.3493,0.38737,0.29378,0.46619,0.18994,0.22735,0.0712,1.28188,2.47164,2.434,1.45523,0,0.000766294,0.000766294,0.000766294
10,22.9116,0.92206,1.49839,1.78617,1.15316,0,0.53004,0.42143,0.46761,0.29882,0.43988,0.23571,0.27235,0.09939,1.32066,2.38001,2.30475,1.46925,0,0.000846455,0.000846455,0.000846455
11,24.8267,0.88917,1.44339,1.76569,1.14026,0,0.32894,0.47143,0.49825,0.32866,0.29875,0.39295,0.40168,0.11399,1.29907,2.21563,2.19132,1.43203,0,0.000849006,0.000849006,0.000849006
12,26.8228,0.87481,1.40794,1.67889,1.1205,0,0.35804,0.46018,0.48859,0.33756,0.33379,0.41276,0.41072,0.14122,1.1996,2.1589,2.14066,1.39447,0,0.000843007,0.000843007,0.000843007
13,28.7782,0.83657,1.36486,1.6382,1.10882,0,0.38382,0.42143,0.41981,0.27303,0.34434,0.35,0.35121,0.11709,1.34662,2.15799,2.3315,1.4959,0,0.000837007,0.000837007,0.000837007
14,30.7131,0.83519,1.26366,1.56985,1.13312,0,0.46577,0.57143,0.57748,0.38252,0.41994,0.5,0.48821,0.1957,1.22738,2.03444,1.90201,1.37333,0,0.000831008,0.000831008,0.000831008
15,32.655,0.83259,1.28706,1.53626,1.10155,0,0.61815,0.58095,0.64281,0.43374,0.56245,0.53074,0.55487,0.21779,1.23314,1.88689,1.71291,1.32902,0,0.000825008,0.000825008,0.000825008
16,34.5979,0.80861,1.16867,1.40485,1.07993,0,0.65866,0.58611,0.63447,0.40733,0.5696,0.49326,0.51041,0.20063,1.29127,1.88326,1.76942,1.37855,0,0.000819009,0.000819009,0.000819009
17,36.5488,0.77926,1.16381,1.32724,1.05921,0,0.61798,0.54129,0.61559,0.42543,0.53681,0.45749,0.52252,0.21819,1.15932,1.8433,1.69155,1.29131,0,0.00081301,0.00081301,0.00081301
18,38.6151,0.78775,1.21205,1.30155,1.05231,0,0.5917,0.61324,0.63835,0.44487,0.58226,0.56902,0.60777,0.23715,1.05962,1.79765,1.45754,1.25149,0,0.00080701,0.00080701,0.00080701
19,40.6205,0.74894,1.08248,1.24124,1.06534,0,0.62726,0.56184,0.64732,0.43269,0.61538,0.46355,0.56549,0.2379,1.10639,1.78784,1.45775,1.2811,0,0.000801011,0.000801011,0.000801011
20,42.6586,0.76595,1.10975,1.23178,1.05199,0,0.50906,0.67191,0.6303,0.42504,0.51054,0.61357,0.57734,0.23516,1.07033,1.73468,1.44736,1.2775,0,0.000795011,0.000795011,0.000795011
21,44.6963,0.75123,1.09772,1.16231,1.01698,0,0.59828,0.61709,0.61061,0.43218,0.57484,0.56325,0.57192,0.21843,1.02913,1.79749,1.51492,1.23638,0,0.000789012,0.000789012,0.000789012
22,46.8174,0.75007,1.11823,1.2306,1.05035,0,0.60931,0.62997,0.61375,0.4324,0.53415,0.5653,0.53067,0.22002,1.09935,1.90486,1.69648,1.27079,0,0.000783013,0.000783013,0.000783013
