epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,5.59724,1.7049,3.70887,6.96016,1.76593,0,0.04656,0.06429,0.03271,0.02674,0.03044,0.02857,0.0165,0.00674,1.31213,2.23152,inf,1.43738,0,9.999e-05,9.999e-05,9.999e-05
2,9.86021,1.12738,2.2375,2.94138,1.29513,0,0.40381,0.60063,0.35719,0.21912,0.35416,0.46941,0.24745,0.0672,1.04299,1.97587,6.5143,1.26327,0,0.00020838,0.00020838,0.00020838
3,14.5374,0.907,1.64713,2.00882,1.13953,0,0.35614,0.45884,0.41617,0.26351,0.46198,0.34876,0.32769,0.11655,1.29013,1.94614,4.3216,1.42928,0,0.00031605,0.00031605,0.00031605
4,18.6659,0.83177,1.51991,1.75499,1.07093,0,0.31956,0.669,0.48125,0.29653,0.24224,0.41429,0.2735,0.10225,1.36552,2.07215,3.51086,1.48885,0,0.000423,0.000423,0.000423
5,22.5529,0.86144,1.46747,1.62565,1.07,0,0.71599,0.38056,0.52821,0.34863,0.61549,0.27503,0.32971,0.1303,1.25325,2.1135,2.58324,1.34381,0,0.000529231,0.000529231,0.000529231
6,26.2796,0.8295,1.4565,1.40968,1.05368,0,0.50765,0.67143,0.54113,0.28117,0.33027,0.40714,0.2543,0.09508,1.49237,1.94678,2.39404,1.53278,0,0.000634741,0.000634741,0.000634741
7,29.9055,0.82519,1.39279,1.18891,1.07271,0,0.63669,0.44668,0.4843,0.29227,0.43386,0.28549,0.26825,0.11298,1.38103,2.14292,2.84256,1.46693,0,0.000739531,0.000739531,0.000739531
8,33.5325,0.80784,1.36252,1.15876,1.03363,0,0.57606,0.54755,0.54796,0.29946,0.42459,0.32337,0.33455,0.09717,1.44249,2.42935,1.8337,1.54705,0,0.000843602,0.000843602,0.000843602
9,37.1815,0.81981,1.31457,1.13629,1.05403,0,0.6359,0.48143,0.54983,0.3673,0.28012,0.35714,0.25421,0.08856,1.29497,2.62276,1.75295,1.39358,0,0.000885002,0.000885002,0.000885002
10,40.7897,0.79195,1.27408,1.08089,1.04472,0,0.60519,0.45917,0.53949,0.37626,0.42949,0.2423,0.23927,0.06607,1.21036,2.74593,1.69608,1.37361,0,0.000882003,0.000882003,0.000882003
11,44.4178,0.80016,1.20263,1.04471,1.05442,0,0.57579,0.53449,0.53551,0.33918,0.42579,0.39096,0.32145,0.1168,1.28392,2.23776,1.95835,1.42214,0,0.000879003,0.000879003,0.000879003
12,48.0922,0.82861,1.22079,0.96704,1.05145,0,0.65158,0.53401,0.55228,0.34789,0.49985,0.35785,0.3206,0.12752,1.34863,2.19318,2.13941,1.53761,0,0.000876003,0.000876003,0.000876003
13,51.6896,0.79028,1.25299,0.96001,1.03423,0,0.4519,0.61143,0.58188,0.38924,0.58716,0.34326,0.39907,0.13667,1.25095,2.22627,1.5027,1.39066,0,0.000873004,0.000873004,0.000873004
14,55.3969,0.76176,1.15919,0.89275,1.02336,0,0.63693,0.55117,0.63343,0.42682,0.47031,0.42119,0.43947,0.16694,1.17725,2.23044,1.37363,1.29812,0,0.000870004,0.000870004,0.000870004
15,59.0968,0.76022,1.20638,0.87128,1.01445,0,0.49087,0.6,0.52952,0.30105,0.36535,0.40714,0.32781,0.13491,1.36316,2.27424,1.92035,1.43091,0,0.000867004,0.000867004,0.000867004
16,62.751,0.72049,1.07399,0.79588,1.0087,0,0.55638,0.536,0.51296,0.29419,0.47338,0.52215,0.42463,0.16424,1.42736,1.99119,1.98823,1.46597,0,0.000864004,0.000864004,0.000864004
17,66.4849,0.68706,1.00544,0.75126,0.99638,0,0.79039,0.51013,0.62245,0.381,0.6052,0.36429,0.3839,0.16706,1.24218,2.16067,1.87419,1.38777,0,0.000861005,0.000861005,0.000861005
18,69.9156,0.66389,0.91202,0.73829,0.97222,0,0.7537,0.46468,0.55819,0.32736,0.31824,0.41311,0.33867,0.14813,1.38562,2.34417,1.96184,1.53372,0,0.000858005,0.000858005,0.000858005
19,73.4186,0.70608,1.00975,0.75566,1.00664,0,0.69307,0.51999,0.59532,0.35079,0.57165,0.41068,0.39911,0.15993,1.2289,2.14819,1.79518,1.40744,0,0.000855005,0.000855005,0.000855005
20,76.8274,0.70097,0.97937,0.75723,0.99424,0,0.42294,0.57857,0.55208,0.33101,0.35519,0.49164,0.39353,0.16238,1.22923,2.10551,1.841,1.38454,0,0.000852006,0.000852006,0.000852006
21,80.2868,0.67536,0.94959,0.67417,0.97869,0,0.71694,0.62903,0.73327,0.52112,0.53841,0.49286,0.54812,0.23437,1.07974,2.1328,1.46235,1.2614,0,0.000849006,0.000849006,0.000849006
22,83.9115,0.68065,0.97147,0.69962,0.97136,0,0.78532,0.61491,0.76135,0.55068,0.65076,0.53387,0.62311,0.26717,1.12029,2.02112,1.37299,1.29694,0,0.000846006,0.000846006,0.000846006
23,87.4425,0.68063,0.96383,0.66422,0.97876,0,0.56447,0.62352,0.62396,0.46152,0.55605,0.55708,0.52415,0.22369,1.12188,1.94152,1.56065,1.26546,0,0.000843007,0.000843007,0.000843007
24,90.8673,0.6921,1.0023,0.68901,0.98483,0,0.62778,0.5451,0.58423,0.44221,0.62194,0.51677,0.49253,0.20205,1.08615,2.04553,1.63325,1.25428,0,0.000840007,0.000840007,0.000840007
25,94.33,0.68385,0.99911,0.66572,0.98159,0,0.6121,0.63256,0.68781,0.4948,0.64525,0.4772,0.54407,0.20236,1.13256,2.02467,1.47231,1.25855,0,0.000837007,0.000837007,0.000837007
26,97.9195,0.65689,0.94503,0.60808,0.95769,0,0.63854,0.64257,0.69493,0.51188,0.61112,0.57401,0.60028,0.23339,1.03502,1.949,1.30012,1.20504,0,0.000834007,0.000834007,0.000834007
27,101.382,0.67041,0.94535,0.63987,0.988,0,0.78652,0.6716,0.73489,0.51873,0.73701,0.63171,0.61841,0.25371,1.15606,1.99184,1.19056,1.30562,0,0.000831008,0.000831008,0.000831008
28,104.79,0.65909,0.96244,0.60979,0.96295,0,0.77109,0.64475,0.75832,0.55554,0.81749,0.5227,0.62424,0.26445,1.05875,1.99861,1.22325,1.24472,0,0.000828008,0.000828008,0.000828008
29,108.261,0.63061,0.91137,0.56836,0.94124,0,0.78898,0.64286,0.74971,0.58514,0.75826,0.49954,0.59026,0.26889,0.96368,2.15909,1.18043,1.17821,0,0.000825008,0.000825008,0.000825008
30,111.749,0.67091,0.98889,0.62796,0.97701,0,0.67292,0.7219,0.75077,0.57462,0.6169,0.60028,0.60573,0.29036,0.93769,2.16162,1.07793,1.15505,0,0.000822009,0.000822009,0.000822009
31,115.211,0.65929,0.98182,0.59839,0.95972,0,0.69225,0.56735,0.70576,0.51295,0.60675,0.48177,0.53857,0.25033,0.97633,2.20891,1.19022,1.19809,0,0.000819009,0.000819009,0.000819009
32,118.818,0.62898,0.91626,0.5786,0.94691,0,0.82611,0.49405,0.70595,0.50455,0.76,0.43635,0.54252,0.26728,1.02502,2.20585,1.23559,1.23844,0,0.000816009,0.000816009,0.000816009
33,122.485,0.66131,0.93934,0.60479,0.96875,0,0.59488,0.6402,0.70266,0.51641,0.65364,0.4468,0.57912,0.28834,1.06704,2.08726,1.36792,1.28132,0,0.00081301,0.00081301,0.00081301
34,126.103,0.61207,0.85025,0.56428,0.95718,0,0.65594,0.65282,0.68069,0.49913,0.56535,0.53475,0.56234,0.28083,0.99612,2.03509,1.37133,1.21678,0,0.00081001,0.00081001,0.00081001
35,129.76,0.62725,0.95757,0.5837,0.9518,0,0.64582,0.76752,0.67968,0.4881,0.58305,0.63312,0.56059,0.27812,0.98985,2.09706,1.44834,1.19988,0,0.00080701,0.00080701,0.00080701
36,133.435,0.62496,0.91458,0.59458,0.95965,0,0.72136,0.56526,0.6737,0.50681,0.64698,0.45,0.53806,0.28708,0.97843,2.0263,1.36185,1.17297,0,0.00080401,0.00080401,0.00080401
37,136.987,0.62469,0.91438,0.57668,0.94719,0,0.67618,0.62002,0.6824,0.5241,0.68825,0.43069,0.53067,0.27955,0.96534,1.98373,1.12474,1.15014,0,0.000801011,0.000801011,0.000801011
